respondent_id,dept,tenure_years,role_level,region,exit_date,satisfaction,response
R-1000,Marketing,17,IC,EMEA,2025-08-20,2,"Mentorship existed on a slide and nowhere else and at the same time I wish someone had talked me out of it, honestly and on top of that I started planning my exit after the second broken promise."
R-1001,Engineering,9.75,IC,NA,2025-11-17,4,Since you asked: salary discussions went nowhere for two cycles and on top of that family circumstances made this change necessary.
R-1002,Engineering,2,Director,APAC,2024-08-01,2,"After five rounds of reflection: the salary was uncompetitive and everyone in my cohort knew it. Beyond that, the office is an open floor plan where deep work goes to die."
R-1003,Sales,0.5,IC,APAC,2025-02-09,3,"The salary offer to stay came only after I resigned, which said everything and at the same time weekend releases became routine and so did my exhaustion."
R-1004,Marketing,11.5,IC,NA,2025-09-20,3,"Off the record but on the form: the desk booking app was the final straw, somehow — and honestly, the company is full of talented people."
R-1005,People,0.75,IC,NA,2025-06-08,2,"Simply put, I asked about a raise twice and got vague answers both times and on top of that mentorship existed on a slide and nowhere else — and honestly, quitting was the only option left on the table."
R-1006,Engineering,0.25,Manager,NA,2025-10-16,3,idk
R-1007,Engineering,1,IC,APAC,2024-11-02,5,"The exit interview questions were thoughtful, including this one. Meanwhile, the exit interview questions were thoughtful, including this one."
R-1008,Support,0.25,IC,EMEA,2025-01-20,1,"My boss managed up beautifully and managed down not at all. Beyond that, I needed to leave for my own health and I finally did."
R-1009,Engineering,5,Manager,NA,2024-11-30,1,"Where to start — the burnout was visible in the whole team by spring. Beyond that, resigning felt like surfacing for air. Also, the mission still resonates with me."
R-1010,Sales,0.75,IC,LATAM,2025-12-16,5,"Honestamente, las guardias de madrugada me quitaron el sueño durante meses."
R-1011,Sales,15.25,IC,NA,2024-08-11,5,"I plateaued and nobody seemed to mind but me. Meanwhile, the return to office mandate ignored everything we proved during remote years."
R-1012,Engineering,12,IC,NA,2024-10-16,2,"The pay gap between old hires and new hires became impossible to ignore — and honestly, I would have resigned months earlier if I could have afforded it."
R-1013,Engineering,0.25,IC,NA,2025-12-18,4,"I am taking time off before deciding what is next, plus the offboarding process was smooth and respectful. Also, the benefits package was reasonable overall."
R-1014,People,3.25,IC,NA,2024-07-09,3,"My supervisor did not understand the work we actually did. Meanwhile, the tools and equipment were always solid."
R-1015,Marketing,0.25,Manager,NA,2025-06-22,4,"The team shrank and the commitments did not. Beyond that, the internal documentation was surprisingly thorough."
